capacity,current_occupancy,occupancy_rate,empty_beds,is_full,food_needed,water_required,kits_per_person,volunteers_per_person,medical_kits,volunteers_required
389,225,0.5784061696658098,164,0,2814,3746,0.8332076716905932,0.5605051288375785,190,125
369,74,0.2005420054200542,295,0,1004,1250,0.5958255339750507,0.4860562749474278,42,35
427,39,0.09133489461358314,388,0,418,468,0.7094019088282759,0.54696971080182,30,19
547,495,0.9049360146252285,52,0,6281,8189,0.7416749388520901,0.27922174371870573,366,138
672,593,0.8824404761904762,79,0,5664,9512,0.8315134885591109,0.5253794303600408,490,310
543,434,0.7992633517495396,109,0,4505,5975,0.8414628925085827,0.28066054684738134,364,120
758,120,0.158311345646438,638,0,1207,1399,0.618613085239822,0.4957673442644901,72,58
716,237,0.33100558659217877,479,0,3129,2997,0.8620390153606523,0.3536015671017365,205,84
216,82,0.37962962962962965,134,0,789,1088,0.7331019586542726,0.5550019785153955,58,45
746,467,0.6260053619302949,279,0,5636,6576,0.8706277540207408,0.589308896756771,406,275
894,735,0.8221476510067114,159,0,7244,11539,0.7938956147239439,0.5523434062600636,583,406
772,511,0.6619170984455959,261,0,5590,7883,0.8520746365061505,0.27063263913331803,434,138
52,36,0.6923076923076923,16,0,466,402,0.6452362839354236,0.5441136597512275,24,19
516,41,0.07945736434108527,475,0,380,688,0.8265446111539103,0.5875386882213682,35,23
706,502,0.7110481586402266,204,0,6849,7343,0.6243519693475543,0.280107208666917,312,140
612,394,0.6437908496732027,218,0,3900,5840,0.7731414260580554,0.42397477164753744,304,167
546,309,0.5659340659340659,237,0,3829,4772,0.8430071479904528,0.5467802186292053,257,168
260,39,0.15,221,0,477,496,0.6057445694171563,0.5166826845956429,24,19
508,343,0.6751968503937008,165,0,4021,4178,0.6187062224329593,0.5455740554312524,214,186
148,138,0.9324324324324325,10,0,1386,1876,0.5919719348623076,0.5058747885379975,85,68
794,635,0.7997481108312342,159,0,7048,10433,0.642495106730539,0.317065670151367,407,201
309,151,0.4886731391585761,158,0,1988,2393,0.5618685948278717,0.34529942368386385,85,52
199,164,0.8241206030150754,35,0,1738,2461,0.8206413672140915,0.36837490492925246,137,59
970,593,0.6113402061855671,377,0,7299,7654,0.7567762555657325,0.45146607401015537,448,267
394,89,0.22588832487309646,305,0,1126,1221,0.5583529662188401,0.3790310178386784,49,33
674,207,0.30712166172106825,467,0,2055,3372,0.5681778776105609,0.5396950295261865,121,110
233,233,1.0,0,1,2302,3441,0.8943482956375536,0.34582787818673505,208,80
224,189,0.84375,35,0,2081,3197,0.5687442090345703,0.37438622493436813,106,69
895,61,0.06815642458100558,834,0,631,708,0.8867707856924385,0.5629684801703789,53,33
835,497,0.5952095808383233,338,0,6516,7289,0.6623767248955984,0.5153437856653271,328,254
507,495,0.9763313609467456,12,0,5786,7351,0.8872008063713963,0.49283125891573454,435,244
984,707,0.7184959349593496,277,0,8022,9604,0.5596627599972891,0.32883221271870783,395,233
951,517,0.5436382754994742,434,0,5758,7224,0.5598698406000172,0.5311178970206787,289,273
716,587,0.8198324022346368,129,0,6786,7058,0.6565183002037598,0.5697685515811398,387,334
620,143,0.2306451612903226,477,0,1501,1810,0.5912813902207462,0.3646282829264008,82,53
55,32,0.5818181818181818,23,0,314,530,0.7636234793744177,0.4916353389099991,22,16
538,466,0.8661710037174721,72,0,6356,7067,0.7092825136162032,0.310171107472616,330,145
447,159,0.35570469798657717,288,0,2007,2469,0.7192944790540449,0.42066631838625634,111,67
235,72,0.30638297872340425,163,0,671,1072,0.6288619061104981,0.27121991110121635,43,20
84,79,0.9404761904761905,5,0,822,1081,0.7278254942686284,0.5352896739079482,59,41
807,143,0.1771995043370508,664,0,1620,1972,0.6359113066930361,0.513785272705223,92,74
496,88,0.1774193548387097,408,0,852,1135,0.8384167549142546,0.4712556920732401,73,41
724,681,0.9406077348066298,43,0,6774,8418,0.6259837114472154,0.5103094743261107,427,348
269,30,0.11152416356877323,239,0,292,469,0.8371225296864209,0.28988448228148767,25,9
549,219,0.3989071038251366,330,0,2173,3486,0.6547277977887854,0.47741635211603217,143,103
423,46,0.10874704491725769,377,0,507,610,0.8251735518166732,0.5200570139597991,38,24
201,170,0.845771144278607,31,0,1894,2451,0.7305759523050657,0.5392698588957591,125,92
505,416,0.8237623762376237,89,0,4024,6007,0.8682155178670703,0.5249331851687747,354,221
229,125,0.5458515283842795,104,0,1504,1934,0.6279566627294458,0.2638394556412836,79,33
81,58,0.7160493827160493,23,0,616,820,0.6301298448099136,0.5004608174188137,36,30
567,218,0.3844797178130511,349,0,2487,3101,0.6005955158915871,0.3738617421951732,129,79
268,191,0.7126865671641791,77,0,2446,2874,0.5584718200170309,0.29914960560316306,104,58
928,305,0.3286637931034483,623,0,3912,4420,0.7022989272473139,0.5266934717945071,213,161
636,502,0.789308176100629,134,0,6091,6449,0.7084842363342315,0.36155201622304656,355,181
62,35,0.5645161290322581,27,0,454,471,0.853756975630425,0.473998897530381,30,17
855,785,0.9181286549707602,70,0,7527,9963,0.7204201063672515,0.2627775666185816,568,205
412,127,0.308252427184466,285,0,1274,1719,0.8194364266005476,0.3377639374657858,103,41
352,139,0.39488636363636365,213,0,1546,1725,0.8230826133167936,0.36518374712024637,116,49
522,370,0.7088122605363985,152,0,4160,5696,0.6395490122642555,0.369544188699994,232,137
807,354,0.43866171003717475,453,0,4607,5814,0.5861858146282207,0.2566814071358732,208,90
327,256,0.7828746177370031,71,0,2353,4038,0.5743815924081257,0.47915344382069436,144,122
458,143,0.31222707423580787,315,0,1384,2262,0.7379696016629419,0.5019777559100365,105,73
763,139,0.182175622542595,624,0,1655,1730,0.6443534025639172,0.264435528394229,87,36
53,34,0.6415094339622641,19,0,467,425,0.6218258871498132,0.4447757585217702,18,13
93,47,0.5053763440860215,46,0,624,636,0.6230378246981441,0.4584010114766649,30,22
731,631,0.8632010943912448,100,0,6424,10504,0.8912015506281183,0.48049443191018415,559,302
587,62,0.10562180579216354,525,0,822,855,0.7312018609907167,0.42119780142248675,46,25
579,478,0.8255613126079447,101,0,4939,5931,0.6628633114496358,0.5474453075796121,316,260
881,517,0.58683314415437,364,0,7051,5800,0.8821279494861594,0.5025523446154075,453,259
467,374,0.8008565310492506,93,0,3810,4945,0.5792012780060215,0.5493240096902717,214,205
833,812,0.9747899159663865,21,0,7399,11738,0.8709409661322114,0.4425540906889034,708,357
196,179,0.9132653061224489,17,0,1721,2155,0.7687358595815594,0.5124685581569575,141,90
105,69,0.6571428571428571,36,0,831,855,0.853964192994491,0.35560136253630764,56,28
892,370,0.4147982062780269,522,0,3655,4896,0.550756398048942,0.45914511581826867,200,171
301,74,0.24584717607973422,227,0,670,1207,0.7746174721081817,0.38163874740501424,61,28
82,63,0.7682926829268293,19,0,776,1060,0.5540183895449664,0.4561997143663776,29,28
202,118,0.5841584158415841,84,0,1121,1502,0.7591597258934121,0.5406017485172341,89,64
528,272,0.5151515151515151,256,0,2919,4101,0.6228148448809083,0.262690711642737,168,69
754,163,0.21618037135278514,591,0,1596,1872,0.6239579987394523,0.5631523633925667,100,88
581,509,0.8760757314974182,72,0,5200,6798,0.784264030001688,0.46615582441218856,400,236
950,451,0.4747368421052632,499,0,6022,6555,0.6993126256908294,0.3571837294200044,313,162
747,355,0.47523427041499333,392,0,4298,5050,0.7533012375834165,0.25062262639289223,268,87
56,48,0.8571428571428571,8,0,544,773,0.5733547166570132,0.5317313041498531,24,27
957,309,0.322884012539185,648,0,3287,4135,0.8535979047789853,0.4767797405016499,264,149
84,61,0.7261904761904762,23,0,631,886,0.8222456997140608,0.4692050385675608,50,28
540,102,0.18888888888888888,438,0,1135,1204,0.8203117079735627,0.43030639127503556,84,42
911,716,0.7859495060373216,195,0,9769,11016,0.895032254194746,0.5486193413538099,640,390
121,113,0.9338842975206612,8,0,1053,1455,0.8109643114296089,0.5772893858538095,88,63
963,699,0.7258566978193146,264,0,6892,8739,0.6029510133519385,0.2573943508310793,423,178
324,256,0.7901234567901234,68,0,3101,3536,0.6903320154018715,0.37842170325710056,175,98
790,782,0.9898734177215189,8,0,8832,10090,0.721823663692774,0.34968344759590514,564,274
504,484,0.9603174603174603,20,0,6175,5748,0.7137511609547897,0.4349276990578927,347,209
346,93,0.26878612716763006,253,0,1251,1563,0.7131481698110745,0.2540539198206305,66,22
419,152,0.3627684964200477,267,0,1788,2451,0.8345790111203923,0.29990262514819094,124,45
210,83,0.3952380952380952,127,0,854,1140,0.8106094731553053,0.5322794482213151,71,43
962,499,0.5187110187110187,463,0,5635,6659,0.6611305288625781,0.34710350460335426,331,172
285,131,0.45964912280701753,154,0,1772,1822,0.6317374763458845,0.46544730212988156,85,60
450,446,0.9911111111111112,4,0,4927,5588,0.8410150800438818,0.43284878991116116,372,193
192,180,0.9375,12,0,1886,2444,0.5781685073938966,0.33187994706144763,104,61
363,237,0.6528925619834711,126,0,2470,3623,0.858191288735563,0.3205908805758909,202,75
804,598,0.7437810945273632,206,0,6240,7053,0.8763979503588862,0.47091674652870197,526,279
492,185,0.37601626016260165,307,0,1928,2405,0.8767382366574996,0.5694515227620514,160,104
581,439,0.7555938037865749,142,0,6061,5134,0.8200804204952122,0.28486910624946093,362,125
88,78,0.8863636363636364,10,0,1069,1052,0.8673564374063427,0.3753042580829201,67,28
164,127,0.774390243902439,37,0,1653,1891,0.632834489467862,0.3147270313537676,81,38
950,163,0.17157894736842105,787,0,1911,2058,0.8989003051175442,0.570586007256797,146,93
874,493,0.5640732265446224,381,0,5188,6378,0.6803225305431154,0.3345101334271055,333,164
69,32,0.463768115942029,37,0,408,393,0.87205980657977,0.5214470474696801,27,17
816,798,0.9779411764705882,18,0,10352,12944,0.674328139591897,0.3376901488753177,533,268
96,49,0.5104166666666666,47,0,496,698,0.8458387906692073,0.33550570764695486,41,17
122,65,0.5327868852459017,57,0,817,787,0.5651191151978351,0.5501257517333775,40,36
514,187,0.3638132295719844,327,0,1850,2597,0.7189735424012309,0.40772668793829836,134,77
898,504,0.5612472160356348,394,0,6042,6580,0.8919949155851254,0.339472829319495,450,170
467,171,0.36616702355460384,296,0,1629,2498,0.7002006495177691,0.31347580938431097,122,52
722,649,0.8988919667590027,73,0,7789,10441,0.7279562699651243,0.40434803253250573,471,263
153,65,0.42483660130718953,88,0,726,1098,0.874009037544854,0.42284876836265306,55,27
519,472,0.9094412331406551,47,0,4531,6808,0.7429135914081122,0.4020863039927274,351,188
697,612,0.8780487804878049,85,0,6815,8502,0.6976424003676157,0.31154050556090135,430,191
717,273,0.3807531380753138,444,0,3521,3864,0.6622013663126369,0.4296532854116546,183,117
978,269,0.27505112474437626,709,0,2997,3185,0.6975939859925753,0.5739362858775903,186,154
166,105,0.6325301204819277,61,0,1280,1372,0.7821626207692137,0.3973611592332905,81,41
970,521,0.5371134020618556,449,0,4906,7526,0.7313682847364283,0.5987815155908924,379,312
617,218,0.353322528363047,399,0,2681,3457,0.7088524330220332,0.4027195531908664,152,87
835,775,0.9281437125748503,60,0,7734,11003,0.6987238860699087,0.3747385411781696,544,289
843,192,0.2277580071174377,651,0,1836,3143,0.743685175172503,0.5215229309883884,144,100
653,346,0.5298621745788668,307,0,4657,4651,0.5717883749598212,0.4582000205687407,198,157
271,186,0.6863468634686347,85,0,2494,2704,0.7334997278744926,0.3499530717537077,137,63
463,257,0.5550755939524838,206,0,2676,3161,0.6038707579614637,0.5644415600506001,154,146
74,64,0.8648648648648649,10,0,802,901,0.8643661099545152,0.5737173216725409,53,38
770,165,0.21428571428571427,605,0,2046,2123,0.8254662814521714,0.28287052226069864,140,45
169,94,0.5562130177514792,75,0,1006,1260,0.5818181944958185,0.385813832119847,56,35
182,64,0.3516483516483517,118,0,845,991,0.6194604599116711,0.49463773346799006,42,32
726,289,0.39807162534435264,437,0,3150,4836,0.6089970865068508,0.38248641758109636,178,112
608,583,0.9588815789473685,25,0,7343,8325,0.7179755014853333,0.353354739696649,419,205
104,78,0.75,26,0,1026,1194,0.8179299577501349,0.45320020341994044,63,35
735,694,0.9442176870748299,41,0,7599,11310,0.652413143898261,0.5239985344221902,452,364
51,48,0.9411764705882353,3,0,441,603,0.6812052199923551,0.3006435217422734,30,13
301,146,0.4850498338870432,155,0,1359,2484,0.5512691804851004,0.48712818511270894,82,70
170,41,0.2411764705882353,129,0,396,634,0.7837593379347969,0.3309593401472181,29,13
491,107,0.21792260692464357,384,0,1025,1208,0.8776237711578545,0.5006878322784003,92,53
583,185,0.31732418524871353,398,0,2414,3130,0.7506103932458248,0.5547688546159257,142,104
